short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) L2 feat copy	Sequence(Average) L1 train total
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	17	0.000665	0.002424
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	18	0.000688	0.002459
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	19	0.000701	0.002552
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	20	0.000721	0.002418
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	21	0.000715	0.002274
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	22	0.000719	0.002265
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	23	0.000715	0.002264
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	0	0.000766	0.003185
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	1	0.000694	0.003017
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	2	0.000711	0.002913
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	3	0.000703	0.002982
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	4	0.000715	0.003094
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	5	0.000714	0.002920
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	6	0.000726	0.002963
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	7	0.000706	0.002959
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	8	0.000727	0.003012
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	9	0.000719	0.003029
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	10	0.000734	0.003178
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	11	0.000741	0.003201
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	12	0.000729	0.003188
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	13	0.000711	0.003181
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	14	0.000717	0.003177
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	15	0.000686	0.003138
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	16	0.000669	0.003203
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	17	0.000669	0.003161
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	18	0.000682	0.003094
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	19	0.000710	0.003192
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	20	0.000717	0.003136
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	21	0.000714	0.002996
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	22	0.000712	0.003017
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	23	0.000722	0.003084
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	0	0.001504	0.005930
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	1	0.001441	0.005878
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	2	0.001448	0.005479
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	3	0.001453	0.005870
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	4	0.001450	0.006472
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	5	0.001442	0.005520
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	6	0.001452	0.005642
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	7	0.001436	0.005786
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	8	0.001442	0.005573
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	9	0.001439	0.005461
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	10	0.001446	0.005450
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	11	0.001487	0.005660
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	12	0.001471	0.005806
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	13	0.001465	0.006069
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	14	0.001469	0.006402
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	15	0.001464	0.006386
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	16	0.001475	0.006943
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	17	0.001457	0.007055
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	18	0.001432	0.008422
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	19	0.001450	0.005607
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	20	0.001448	0.005835
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	21	0.001463	0.005806
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	22	0.001455	0.005875
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	23	0.001457	0.005811
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	0	0.001502	0.015611
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	1	0.001470	0.015547
