short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_enable_refresh
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000502	0.002026	60.112459	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000499	0.002016	61.170193	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000518	0.002059	62.243663	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000516	0.002302	63.310488	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000518	0.001919	64.565246	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000534	0.001954	65.623749	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000502	0.001901	66.714231	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000529	0.001940	67.777267	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000534	0.001944	68.854422	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000552	0.001979	69.921421	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000554	0.001969	71.021245	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000503	0.001887	72.111667	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000557	0.001993	73.148034	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000546	0.001980	74.258257	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000569	0.001989	75.356012	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000559	0.001983	76.440944	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000495	0.001901	77.526729	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000526	0.001956	78.591355	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000518	0.001937	79.662080	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000526	0.001950	80.732786	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000552	0.001995	81.791124	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000556	0.002000	82.882296	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000496	0.001914	83.995047	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000524	0.001950	85.041366	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000521	0.001961	86.095374	True
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000398	0.001614	0.000001	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000405	0.001591	1.027150	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000429	0.001613	2.040516	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000409	0.001592	3.078735	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000388	0.001572	4.100176	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000430	0.001621	5.100893	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000437	0.001617	6.133305	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000449	0.001622	7.162026	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000473	0.001650	8.201383	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000450	0.001619	9.253037	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000400	0.001565	10.284607	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000455	0.001636	11.280737	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000445	0.001615	12.333200	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000458	0.001627	13.364510	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000472	0.001638	14.406423	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000458	0.001637	15.447848	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000416	0.001571	16.488673	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000457	0.001615	17.505780	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000455	0.001625	18.549382	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000473	0.001633	19.594484	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000501	0.001666	20.630370	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000453	0.001614	21.694889	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000461	0.001616	22.718183	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000475	0.001639	23.747739	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000501	0.001663	24.784790	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000518	0.001678	25.848283	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000447	0.001612	26.913688	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000482	0.001650	27.948033	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000486	0.001640	29.005047	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000515	0.001680	30.049436	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000519	0.001680	31.116339	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000446	0.001611	32.186577	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000457	0.001615	33.228768	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000466	0.001631	34.264899	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000479	0.001648	35.299407	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000500	0.001665	36.352921	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000510	0.001671	37.410640	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000466	0.001620	38.466797	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000457	0.001638	39.499136	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000489	0.001655	40.558531	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000489	0.001653	41.609631	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000502	0.001665	42.671199	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000510	0.001668	43.718786	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000483	0.001658	44.778856	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000465	0.001640	45.845435	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000494	0.001644	46.903729	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000486	0.001651	47.937809	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000504	0.001664	48.990220	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000524	0.001690	50.043450	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000490	0.001648	51.111131	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000466	0.001636	52.158664	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000496	0.001658	53.210443	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000490	0.001667	54.264428	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000504	0.001670	55.328093	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000518	0.001672	56.380791	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000487	0.001650	57.438205	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000467	0.001625	58.490973	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000494	0.001662	59.526215	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000491	0.001651	60.581850	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000503	0.001671	61.628899	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000525	0.001686	62.695600	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000482	0.001646	63.757971	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000506	0.001657	64.814368	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000518	0.001681	65.862240	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000545	0.001695	66.940391	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000544	0.001699	68.007741	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000477	0.001640	69.079262	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000527	0.001687	70.131451	False
