short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000408	0.001635	0.000002	8000	False	0.050298
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000423	0.001634	2.078249	8000	False	0.001620
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000410	0.001621	4.173632	8000	False	0.001624
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000441	0.001656	6.246668	8000	False	0.001602
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000461	0.001672	8.355788	8000	False	0.001662
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000424	0.001630	10.464364	8000	False	0.001700
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000453	0.001652	12.539566	8000	False	0.001626
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000470	0.001671	14.618507	8000	False	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000440	0.001636	16.731276	8000	False	0.001675
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000465	0.001666	18.806971	8000	False	0.001601
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000480	0.001679	20.918718	8000	False	0.001662
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000473	0.001672	23.063293	8000	False	0.001655
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000510	0.001701	25.193913	8000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000463	0.001652	27.334111	8000	False	0.001688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000501	0.001690	29.411864	8000	False	0.001650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000477	0.001669	31.535709	8000	False	0.001676
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000464	0.001665	33.642363	8000	False	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000488	0.001681	35.769967	8000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000491	0.001684	37.895423	8000	False	0.001662
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000477	0.001672	40.019190	8000	False	0.001688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000497	0.001697	42.121752	8000	False	0.001653
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000496	0.001684	44.265955	8000	False	0.001684
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000479	0.001667	46.379355	8000	False	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000496	0.001690	48.478521	8000	False	0.001666
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000507	0.001705	50.619005	8000	False	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000481	0.001677	52.782898	8000	False	0.001687
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000498	0.001688	54.904087	8000	False	0.001673
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000501	0.001687	57.026956	8000	False	0.001675
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000482	0.001678	59.158585	8000	False	0.001674
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000498	0.001701	61.287949	8000	False	0.001655
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000500	0.001690	63.441891	8000	False	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000512	0.001710	65.565443	8000	False	0.001684
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000535	0.001725	67.740338	8000	False	0.001695
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000503	0.001696	69.905966	8000	False	0.001722
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000537	0.001724	72.066929	8000	False	0.001701
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000506	0.001695	74.224617	8000	False	0.001718
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000500	0.001693	76.354774	8000	False	0.001697
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000518	0.001706	78.494595	8000	False	0.001700
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000500	0.001696	80.636846	8000	False	0.001708
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000494	0.001695	82.807865	8000	False	0.001689
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000528	0.001714	84.954623	8000	False	0.001713
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000500	0.001683	87.121672	8000	False	0.001706
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000511	0.001693	89.237178	8000	False	0.001680
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000534	0.001714	91.378052	8000	False	0.001692
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000504	0.001696	93.540691	8000	False	0.001696
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000513	0.001700	95.692989	8000	False	0.001708
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000536	0.001714	97.826741	8000	False	0.001715
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000500	0.001674	99.984429	8000	False	0.001716
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000531	0.001708	102.088727	8000	False	0.001634
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000523	0.001706	104.254110	8000	False	0.001663
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000431	0.001667	0.000001	8000	True	0.050152
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000449	0.001679	2.124254	8000	True	0.001629
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000433	0.001641	4.252613	8000	True	0.001641
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000467	0.001697	6.337470	8000	True	0.001612
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000487	0.001686	8.490767	8000	True	0.001662
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000449	0.001656	10.612228	8000	True	0.001674
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000482	0.001691	12.740853	8000	True	0.001641
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000492	0.001696	14.896868	8000	True	0.001679
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000461	0.001718	17.047066	8000	True	0.001676
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000484	0.001679	19.232074	8000	True	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000502	0.001703	21.341286	8000	True	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000495	0.001700	23.501959	8000	True	0.001682
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000536	0.001739	25.658171	8000	True	0.001672
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000488	0.001683	27.855365	8000	True	0.001733
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000522	0.001726	29.972145	8000	True	0.001661
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000505	0.001707	32.161776	8000	True	0.001722
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000485	0.001672	34.312895	8000	True	0.001710
