short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	0	0.000703	0.002011	0.000002
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	1	0.000642	0.001869	0.299842
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	2	0.000628	0.001848	0.587880
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	3	0.000638	0.001861	0.870511
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	4	0.000637	0.001901	1.169230
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	5	0.000641	0.001852	1.459658
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	6	0.000651	0.001870	1.742421
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	7	0.000655	0.001866	2.023233
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	8	0.000673	0.001912	2.322242
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	9	0.000688	0.001953	2.612579
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	10	0.000677	0.002012	2.915733
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	11	0.000677	0.002056	3.225751
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	12	0.000667	0.002017	3.556896
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	13	0.000688	0.002055	3.866640
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	14	0.000645	0.002001	4.182970
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	15	0.000618	0.001972	4.488252
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	16	0.000622	0.001981	4.791857
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	17	0.000611	0.001955	5.097360
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	18	0.000632	0.002001	5.391845
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	19	0.000658	0.002051	5.713408
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	20	0.000668	0.002056	6.035600
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	21	0.000686	0.001943	6.347819
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	22	0.000669	0.001929	6.643507
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	23	0.000672	0.001943	6.940746
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	24	0.000656	0.001936	7.251399
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	25	0.000652	0.001931	7.539808
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	26	0.000672	0.001937	7.836207
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	27	0.000680	0.001963	8.130735
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	28	0.000677	0.001939	8.440890
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	29	0.000674	0.002009	8.738313
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	30	0.000674	0.001913	9.043131
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	31	0.000691	0.001930	9.342786
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	32	0.000685	0.001916	9.642373
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	33	0.000693	0.001927	9.930249
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	34	0.000687	0.001924	10.226778
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	35	0.000701	0.001937	10.517896
dlrm	MPSPhaseCollAsymm	8.000000	65536	CR	36	0.000702	0.002112	10.813991
