short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000454	0.002042	0.000003
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000444	0.001961	0.277644
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000417	0.001839	0.544861
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000428	0.001913	0.807534
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000429	0.002015	1.080591
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000434	0.001856	1.344131
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000439	0.001888	1.600188
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000458	0.001903	1.867037
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000462	0.001946	2.140249
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000473	0.001959	2.408429
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000474	0.001983	2.674956
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000462	0.002145	2.943469
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000462	0.001944	3.226951
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000460	0.001959	3.490076
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000439	0.001906	3.753572
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000424	0.001905	4.020590
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000424	0.001882	4.289407
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000426	0.001900	4.542213
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000425	0.001898	4.810090
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000436	0.001940	5.076125
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000457	0.001979	5.362128
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000463	0.001959	5.628066
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000467	0.001975	5.886201
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000461	0.001971	6.154294
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000468	0.001980	6.426133
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000458	0.002002	6.687030
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000464	0.002028	6.949889
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000475	0.002017	7.210605
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000476	0.002058	7.495083
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000490	0.002336	7.761412
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000495	0.001942	8.050713
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000489	0.001986	8.326826
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000510	0.001986	8.609258
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000503	0.001978	8.880429
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000507	0.001973	9.155441
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000505	0.001947	9.422536
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000504	0.001998	9.705861
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000495	0.001999	9.983302
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000478	0.001940	10.262439
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000457	0.001925	10.521957
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000421	0.001866	10.787474
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000416	0.001876	11.040000
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000436	0.001888	11.295729
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000445	0.001906	11.559997
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000472	0.001951	11.828146
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000480	0.001971	12.086788
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000494	0.002005	12.359057
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000485	0.001978	12.632328
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000484	0.001968	12.903435
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000473	0.001948	13.161820
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000475	0.001953	13.422171
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000479	0.001961	13.690936
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000481	0.001996	13.950747
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000479	0.001980	14.217340
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000484	0.001984	14.482033
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000490	0.002011	14.748782
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000496	0.002009	15.019051
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000506	0.002018	15.282363
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000507	0.002029	15.548624
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000512	0.002045	15.810719
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000508	0.002034	16.085067
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000508	0.002063	16.351502
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000488	0.001999	16.633859
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000456	0.001958	16.897505
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000425	0.001934	17.158630
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000443	0.001963	17.412028
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000448	0.001983	17.668751
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000458	0.001993	17.927114
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000471	0.002020	18.201126
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000496	0.002753	18.460566
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000494	0.001924	18.778801
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000499	0.001953	19.041667
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000479	0.001918	19.320607
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000492	0.001939	19.579384
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000481	0.001921	19.856784
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000488	0.001931	20.130793
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000503	0.001948	20.394417
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000498	0.001935	20.656050
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000495	0.001939	20.916889
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000509	0.001960	21.177439
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	80	0.000524	0.001987	21.462171
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	81	0.000530	0.001976	21.734103
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	82	0.000581	0.002147	22.013688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	83	0.000534	0.001997	22.340166
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	84	0.000531	0.002061	22.608853
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	85	0.000503	0.002068	22.895039
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	86	0.000476	0.002044	23.172272
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	87	0.000465	0.002007	23.436311
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	88	0.000482	0.002084	23.724100
