short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000418	0.001896	0.000001
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000425	0.001870	1.054163
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000449	0.001960	2.086372
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000431	0.001849	3.137298
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000409	0.001840	4.178358
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000448	0.001917	5.202208
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000458	0.001939	6.243999
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000471	0.002013	7.291609
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000491	0.001920	8.370448
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000467	0.001894	9.430521
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000420	0.001838	10.471111
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000468	0.001917	11.492333
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000468	0.001934	12.542638
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000478	0.001954	13.596374
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000491	0.001983	14.649012
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000481	0.001970	15.698334
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000432	0.001928	16.737634
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000478	0.002121	17.761992
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000470	0.001889	18.872260
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000491	0.001904	19.931195
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000520	0.001999	20.983468
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000480	0.002003	22.112204
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000495	0.002152	23.215505
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000498	0.002048	24.375126
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000530	0.002087	25.502739
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000543	0.002158	26.629279
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000473	0.002186	27.780344
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000503	0.002025	28.932086
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000509	0.002013	30.030527
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000539	0.002058	31.128928
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000530	0.002029	32.254618
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000467	0.001973	33.369190
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000482	0.002046	34.447584
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000514	0.002176	35.531215
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000524	0.002099	36.675448
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000600	0.002199	37.761943
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000644	0.002301	38.931668
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000589	0.002030	40.182599
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000583	0.002025	41.317670
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000609	0.002072	42.433474
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000556	0.002059	43.577307
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000514	0.001970	44.705172
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000524	0.001972	45.773308
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000493	0.001937	46.846447
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000484	0.001921	47.907449
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000518	0.001973	48.960700
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000501	0.001965	50.024635
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000519	0.001985	51.095723
