short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000505	0.001679	49.235339	4000	False	0.001650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000524	0.001694	50.292951	4000	False	0.001615
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000490	0.001655	51.360266	4000	False	0.001643
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000468	0.001647	52.404905	4000	False	0.001683
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000497	0.001675	53.442534	4000	False	0.001607
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000493	0.001671	54.497116	4000	False	0.001630
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000501	0.001669	55.564655	4000	False	0.001651
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000516	0.001693	56.622585	4000	False	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000490	0.001669	57.693040	4000	False	0.001642
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000468	0.001650	58.753000	4000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000497	0.001670	59.804719	4000	False	0.001620
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000495	0.001666	60.850444	4000	False	0.001670
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000505	0.001682	61.898346	4000	False	0.001654
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000521	0.001702	62.976678	4000	False	0.001651
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000484	0.001661	64.054404	4000	False	0.001658
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000508	0.001689	65.107667	4000	False	0.001671
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000519	0.001696	66.176330	4000	False	0.001642
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000537	0.001710	67.239618	4000	False	0.001653
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000541	0.001721	68.314817	4000	False	0.001667
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000486	0.001669	69.408168	4000	False	0.001698
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000532	0.001726	70.458608	4000	False	0.001694
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000525	0.001712	71.540819	4000	False	0.001665
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000554	0.001741	72.626347	4000	False	0.001679
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000550	0.001733	73.725780	4000	False	0.001674
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000472	0.001659	74.807689	4000	False	0.001707
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000499	0.001680	75.869296	4000	False	0.001706
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000493	0.001676	76.922327	4000	False	0.001625
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000504	0.001681	77.990270	4000	False	0.001680
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000534	0.001710	79.045351	4000	False	0.001650
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000536	0.001716	80.116346	4000	False	0.001658
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000473	0.001658	81.200282	4000	False	0.001688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000495	0.001672	82.253807	4000	False	0.001687
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000502	0.001683	83.297926	4000	False	0.001640
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	80	0.000519	0.001688	84.363728	4000	False	0.001660
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	81	0.000534	0.001700	85.427175	4000	False	0.001639
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	82	0.000525	0.001696	86.499535	4000	False	0.001647
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	83	0.000477	0.001648	87.573941	4000	False	0.001683
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	84	0.000510	0.001686	88.609330	4000	False	0.001707
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	85	0.000515	0.001690	89.668716	4000	False	0.001639
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	86	0.000527	0.001710	90.741575	4000	False	0.001671
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	87	0.000544	0.001719	91.815380	4000	False	0.001652
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	88	0.000523	0.001698	92.907691	4000	False	0.001675
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	89	0.000492	0.001666	93.970258	4000	False	0.001732
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	90	0.000519	0.001696	95.025153	4000	False	0.001701
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	91	0.000510	0.001678	96.104272	4000	False	0.001648
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	92	0.000531	0.001696	97.163777	4000	False	0.001690
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	93	0.000535	0.001713	98.223297	4000	False	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	94	0.000480	0.001663	99.297744	4000	False	0.001695
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	95	0.000523	0.001706	100.365865	4000	False	0.001706
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	96	0.000536	0.001706	101.450591	4000	False	0.001645
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	97	0.000528	0.001699	102.522842	4000	False	0.001681
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	98	0.000549	0.001719	103.593785	4000	False	0.001666
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	99	0.000502	0.001668	104.680651	4000	False	0.001628
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000429	0.001683	0.000002	4000	True	0.029683
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000433	0.001664	1.074308	4000	True	0.069896
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000457	0.001700	2.130802	4000	True	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000434	0.001658	3.194578	4000	True	0.001701
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000421	0.001631	4.256024	4000	True	0.001700
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000460	0.001685	5.285613	4000	True	0.001691
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000464	0.001692	6.345538	4000	True	0.001636
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000481	0.001731	7.422922	4000	True	0.001709
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000498	0.001702	8.505678	4000	True	0.001716
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000476	0.001687	9.573826	4000	True	0.001751
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000428	0.001639	10.650497	4000	True	0.001708
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000483	0.001698	11.706635	4000	True	0.001709
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000480	0.001674	12.781362	4000	True	0.001678
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000484	0.001702	13.839368	4000	True	0.001713
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000503	0.001715	14.923136	4000	True	0.001711
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000492	0.001700	16.011468	4000	True	0.001728
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000443	0.001653	17.089900	4000	True	0.001740
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000481	0.001770	18.154942	4000	True	0.001751
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000484	0.001696	19.263116	4000	True	0.001690
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000499	0.001707	20.350908	4000	True	0.001792
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000524	0.001728	21.426818	4000	True	0.001746
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000480	0.001669	22.507671	4000	True	0.001733
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000493	0.001695	23.552689	4000	True	0.001752
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000502	0.001697	24.629476	4000	True	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000528	0.001727	25.711191	4000	True	0.001749
