short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	0	0.000442	0.002019	0.000002
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	1	0.000420	0.001883	0.552766
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	2	0.000422	0.001939	1.070454
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	3	0.000441	0.001923	1.603457
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	4	0.000451	0.001940	2.135515
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	5	0.000457	0.002043	2.666242
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	6	0.000447	0.001894	3.199438
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	7	0.000432	0.001897	3.723340
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	8	0.000415	0.001874	4.251590
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	9	0.000421	0.001902	4.766486
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	10	0.000452	0.001974	5.293897
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	11	0.000454	0.001958	5.828523
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	12	0.000455	0.001988	6.344118
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	13	0.000457	0.001991	6.867930
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	14	0.000470	0.002209	7.401025
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	15	0.000484	0.001958	7.963274
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	16	0.000497	0.001990	8.509736
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	17	0.000497	0.002002	9.043495
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	18	0.000488	0.001980	9.590330
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	19	0.000454	0.001954	10.128775
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	20	0.000419	0.001885	10.663571
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	21	0.000432	0.001906	11.171719
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	22	0.000480	0.001984	11.691664
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	23	0.000479	0.001981	12.221878
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	24	0.000468	0.001985	12.755896
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000471	0.001997	13.291740
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000480	0.002005	13.836143
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000485	0.002036	14.372419
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000489	0.002033	14.918571
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000500	0.002060	15.457325
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000496	0.002040	16.007498
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000476	0.002033	16.542779
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000426	0.001959	17.086698
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000449	0.001995	17.601726
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000474	0.002394	18.130585
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000485	0.001948	18.714460
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000478	0.001945	19.258436
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000475	0.001934	19.796433
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000492	0.001950	20.333945
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000504	0.001977	20.876980
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000525	0.002033	21.429915
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000535	0.002061	21.996723
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000498	0.002060	22.605880
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000462	0.002019	23.163145
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000481	0.002101	23.717496
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000511	0.002260	24.287022
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000506	0.002080	24.899568
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000501	0.002080	25.471212
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000532	0.002144	26.046303
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000552	0.002194	26.637027
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000559	0.002218	27.240288
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000539	0.002213	27.831495
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000488	0.002155	28.425552
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000476	0.002280	29.004236
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000501	0.002043	29.619737
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	55	0.000515	0.002045	30.177419
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	56	0.000516	0.002059	30.735600
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	57	0.000516	0.002071	31.298451
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	58	0.000538	0.002076	31.866845
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	59	0.000548	0.002094	32.428845
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	60	0.000544	0.002113	32.998911
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	61	0.000528	0.002098	33.565601
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	62	0.000492	0.002115	34.134376
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	63	0.000457	0.002071	34.697042
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	64	0.000482	0.002240	35.264720
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	65	0.000534	0.002196	35.858168
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	66	0.000524	0.002142	36.447545
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	67	0.000519	0.002156	37.000929
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000568	0.002240	37.582060
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000602	0.002205	38.171761
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000617	0.002210	38.765060
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000637	0.002261	39.335627
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000646	0.002562	39.922782
